Name,Duration,AvgSize
jxr_0.500000,34.296875,190642.229342
jxr_0.250000,13.34375,95560.663317
jxr_0.125000,18.546875,48935.266332
jxr_0.062500,11.421875,23742.59464
jxr_0.031250 ,12.21875,11959.589615
jxr_0.015625,9.78125,6135.18258
jxr_0.007813,13.859375,3107.174204
jxr_0.003906,10.71875,1857.649916
jxr_0.001953,10.71875,1756.961474
