Name,Duration,AvgSize
jxr_0.500000,9.984375,191964
jxr_0.250000,11.65625,97380.1105527638
jxr_0.125000,9.78125,49000.7336683417
jxr_0.062500,10.0625,24172.8961474037
jxr_0.031250,11,12859.0251256281
jxr_0.015625,10.125,8757.57621440536
jxr_0.007813,9.84375,8517.9932998325
jxr_0.003906,9.546875,8517.21273031826
